city,date,trafficIndex,avgSpeed,congestionLevel,accidents,publicTransportUsage
Pune,2010-01-01,172,15.3,47,191,849689
Pune,2010-02-01,165,15.2,48,188,845957
Pune,2010-03-01,167,15.1,48,189,843737
Pune,2010-04-01,167,15.2,49,189,847463
Pune,2010-05-01,167,15.3,49,186,845152
Pune,2010-06-01,174,14.7,50,200,853809
Pune,2010-07-01,173,14.8,50,200,845541
Pune,2010-08-01,175,14.6,49,200,849582
Pune,2010-09-01,170,14.7,50,198,843485
Pune,2010-10-01,168,15.1,48,191,838130
Pune,2010-11-01,170,15.1,48,191,841015
Pune,2010-12-01,166,15.2,48,191,848979
Pune,2011-01-01,163,15.4,48,187,855511
Pune,2011-02-01,164,15.4,46,185,854567
Pune,2011-03-01,166,15.3,47,193,852646
Pune,2011-04-01,166,15.4,48,188,859976
Pune,2011-05-01,166,15.5,47,189,853205
Pune,2011-06-01,174,15.1,49,193,858178
Pune,2011-07-01,171,14.9,49,192,859177
Pune,2011-08-01,171,14.8,49,197,858374
Pune,2011-09-01,172,14.8,50,191,855854
Pune,2011-10-01,168,15.5,46,182,853184
Pune,2011-11-01,164,15.4,47,187,855799
Pune,2011-12-01,164,15.3,47,180,856784
Pune,2012-01-01,165,15.7,46,178,870034
Pune,2012-02-01,162,15.6,46,178,856527
Pune,2012-03-01,163,15.8,46,177,868185
Pune,2012-04-01,161,15.7,46,176,873439
Pune,2012-05-01,164,15.7,45,179,866407
Pune,2012-06-01,173,15.2,48,191,858505
Pune,2012-07-01,165,15.1,47,190,858156
Pune,2012-08-01,172,14.9,48,186,868937
Pune,2012-09-01,171,15.0,48,185,868597
Pune,2012-10-01,165,15.6,46,178,854365
Pune,2012-11-01,165,15.7,46,180,860722
Pune,2012-12-01,165,15.4,46,181,873481
Pune,2013-01-01,164,15.9,45,178,867473
Pune,2013-02-01,162,15.8,45,172,877003
Pune,2013-03-01,163,15.7,45,179,883329
Pune,2013-04-01,163,15.8,45,171,883346
Pune,2013-05-01,158,15.8,45,172,881127
